"","SoV_m","SoV_r","SoV_i","Relief","XGBoost","Boruta","adaptive Lasso"
"1",0,2.44948974278318,0,9.9498743710662,6,4,0
"2",1.73205080756888,1.4142135623731,1.4142135623731,13.6381816969859,6.08276253029822,4.58257569495584,0
"3",1.4142135623731,1.73205080756888,1.4142135623731,10.5830052442584,6,4.58257569495584,0
"4",0,1.73205080756888,0,8.12403840463596,6.08276253029822,3.87298334620742,0
"5",2,1.73205080756888,2,11.2694276695846,9.21954445729289,3.46410161513775,0
"6",1,0,0,10.7238052947636,6,4,0
"7",2,3.74165738677394,2.64575131106459,9.21954445729289,6.08276253029822,3.60555127546399,0
"8",1,1.4142135623731,1.4142135623731,8.18535277187245,6.08276253029822,4,0
"9",0,1.4142135623731,1.4142135623731,9,6.08276253029822,4,0
"10",0,0,0,9.69535971483266,6,4,0
"11",2,2,2,10.8627804912002,6.08276253029822,4.58257569495584,0
"12",1,0,0,10.0498756211209,6.32455532033676,4,0
"13",0,2,0,7.87400787401181,6.16441400296898,4,0
"14",2,1.73205080756888,1.73205080756888,8.36660026534076,6,4,0
"15",1,1.4142135623731,0,9.8488578017961,6.08276253029822,4.58257569495584,0
"16",0,1.4142135623731,0,11.5325625946708,6.08276253029822,3.60555127546399,0
"17",0,0,0,10.3440804327886,9.2736184954957,4,0
"18",1.73205080756888,1,1,9.48683298050514,6.2449979983984,4,0
"19",2,3.74165738677394,1.73205080756888,8.48528137423857,6.48074069840786,5.29150262212918,0
"20",2,2,1.73205080756888,14.1067359796659,6.16441400296898,2.64575131106459,0
"21",0,1.4142135623731,0,10.4880884817015,0,4.58257569495584,0
"22",1.73205080756888,2.44948974278318,1.4142135623731,7.34846922834953,9.21954445729289,4.58257569495584,0
"23",1.73205080756888,0,1.73205080756888,10.295630140987,6.08276253029822,4,0
"24",0,0,0,9.9498743710662,6.16441400296898,4.58257569495584,0
"25",1.73205080756888,2.44948974278318,1.4142135623731,9.74679434480896,6.08276253029822,3.60555127546399,0
"26",0,1.73205080756888,1.4142135623731,9.8488578017961,6.08276253029822,4.58257569495584,0
"27",2,1.73205080756888,2,9.32737905308882,0,3.16227766016838,0
"28",2,2,1.73205080756888,13.0384048104053,6.08276253029822,3.60555127546399,0
"29",1.4142135623731,1.4142135623731,1.73205080756888,11.6189500386223,6.08276253029822,3.16227766016838,0
"30",0,1,0,7.34846922834953,6,4,0
"31",1,0,0,9.48683298050514,6.16441400296898,4.58257569495584,0
"32",0,2.44948974278318,1.4142135623731,10.295630140987,6.08276253029822,3.87298334620742,0
"33",1.73205080756888,1,1,11.9582607431014,6.08276253029822,4,0
"34",1.73205080756888,1.4142135623731,1.4142135623731,11.4455231422596,0,3.60555127546399,0
"35",1,1.4142135623731,0,8.18535277187245,6.08276253029822,3.3166247903554,0
"36",1,1,1,13.2664991614216,9.21954445729289,4,0
"37",2,1.4142135623731,1.73205080756888,11.3137084989848,6.08276253029822,4,0
"38",2,2.44948974278318,2.64575131106459,11.3578166916005,6,3.60555127546399,0
"39",1.73205080756888,1.4142135623731,1.4142135623731,10.8627804912002,6.08276253029822,3.87298334620742,0
"40",1,0,0,4.58257569495584,6.08276253029822,3.74165738677394,0
"41",0,2.44948974278318,0,9.8488578017961,6.16441400296898,4.58257569495584,0
"42",2,2.44948974278318,1.73205080756888,9,6,4,0
"43",1.73205080756888,1.4142135623731,1.4142135623731,8.88819441731559,6.16441400296898,4,0
"44",3.16227766016838,2.23606797749979,2,10.0498756211209,9.21954445729289,2.82842712474619,0
"45",2,1.4142135623731,1.73205080756888,9.74679434480896,6.16441400296898,3.60555127546399,0
"46",1.73205080756888,1.73205080756888,1,10.5830052442584,6.16441400296898,4,0
"47",2,1.73205080756888,2,9.89949493661167,9.21954445729289,4,0
"48",1.73205080756888,1.4142135623731,1.73205080756888,14.3527000944073,6,4,0
"49",2,0,2,11.8743420870379,6.08276253029822,4,0
"50",0,0,0,10.295630140987,6.16441400296898,4.58257569495584,0
"51",1.4142135623731,2.44948974278318,1.4142135623731,10.6301458127346,6.08276253029822,4.58257569495584,0
"52",0,1.4142135623731,0,9.8488578017961,6,3.16227766016838,0
"53",0,2.44948974278318,0,6.92820323027551,6.2449979983984,3.87298334620742,0
"54",0,2,0,9.69535971483266,0,3.60555127546399,0
"55",1.4142135623731,1.4142135623731,1.4142135623731,8.42614977317636,0,4,0
"56",0,0,0,10.0498756211209,0,2.64575131106459,0
"57",1,1,1,11.7898261225516,6.16441400296898,3.60555127546399,0
"58",1.73205080756888,1.4142135623731,1.73205080756888,10.0995049383621,6.08276253029822,4,0
"59",1.4142135623731,0,0,11.2249721603218,6.16441400296898,3.60555127546399,0
"60",1.73205080756888,1.4142135623731,1.4142135623731,8.88819441731559,6,4.58257569495584,0
"61",1,1.73205080756888,1,11.8321595661992,6,4.58257569495584,0
"62",1,1.4142135623731,1.73205080756888,10.1488915650922,6,4.58257569495584,0
"63",2,2.44948974278318,1.73205080756888,11.0905365064094,6.16441400296898,3.60555127546399,0
"64",0,1.4142135623731,0,11.8321595661992,6,2.64575131106459,0
"65",0,1.4142135623731,0,10,9.21954445729289,3.60555127546399,0
"66",0,0,0,13.6747943311773,6,4.58257569495584,0
"67",1.4142135623731,1.4142135623731,1.4142135623731,8.18535277187245,6.16441400296898,3.60555127546399,0
"68",1.73205080756888,2,1.73205080756888,8.54400374531753,6.08276253029822,4.58257569495584,0
"69",0,2,2,11.0905365064094,6.08276253029822,4,0
"70",1,1.4142135623731,1.4142135623731,7.14142842854285,6.08276253029822,4.58257569495584,0
"71",1.73205080756888,2,1.73205080756888,10.4403065089106,0,4.58257569495584,0
"72",1.4142135623731,1.73205080756888,1.73205080756888,8.77496438739212,6.08276253029822,4,0
"73",1,0,0,10.6770782520313,6,3.60555127546399,0
"74",1.73205080756888,2,1.4142135623731,9.53939201416946,6,4.58257569495584,0
"75",1.73205080756888,2.44948974278318,2.44948974278318,8.94427190999916,6.16441400296898,4,0
"76",2,2.44948974278318,1.73205080756888,7.21110255092798,6.08276253029822,3.16227766016838,0
"77",1.4142135623731,0,0,9.32737905308882,6,4,0
"78",1.73205080756888,1,1.73205080756888,12.9228479833201,6,4,0
"79",1,2,1.4142135623731,9.79795897113271,6.16441400296898,3.16227766016838,0
"80",1,1.4142135623731,1,10.1488915650922,6.48074069840786,4.58257569495584,0
"81",1.73205080756888,1.4142135623731,1.4142135623731,9.48683298050514,0,4,0
"82",1,1.73205080756888,1,9.53939201416946,6.16441400296898,4,0
"83",1.73205080756888,2.44948974278318,1.73205080756888,10.7238052947636,6,4,0
"84",1.73205080756888,2,1.4142135623731,9.9498743710662,6.08276253029822,4,0
"85",1,1,1,9.2736184954957,6.2449979983984,3.87298334620742,0
"86",0,1.4142135623731,0,10.816653826392,6.08276253029822,4,0
"87",1,1.4142135623731,1.73205080756888,11.4455231422596,0,2.64575131106459,0
"88",0,1.4142135623731,1.4142135623731,10.1980390271856,6.08276253029822,3.16227766016838,0
"89",2,1.73205080756888,1.73205080756888,9.53939201416946,6.16441400296898,4,0
"90",0,1.4142135623731,0,9.05538513813742,6.08276253029822,3.60555127546399,0
"91",1.73205080756888,2,1.4142135623731,11.4891252930761,0,4.58257569495584,0
"92",0,1.4142135623731,0,12.1243556529821,6.08276253029822,4,0
"93",1,2,0,11.3137084989848,6.16441400296898,4,0
"94",1,1,1,8.94427190999916,6.08276253029822,3.16227766016838,0
"95",2,2.82842712474619,2,10.1488915650922,6.2449979983984,3.60555127546399,0
"96",1,1.4142135623731,0,10.4880884817015,6.08276253029822,4.58257569495584,0
"97",1.73205080756888,2,1.4142135623731,11.3137084989848,6.16441400296898,3.16227766016838,0
"98",2,1.4142135623731,1,8,6.08276253029822,4.58257569495584,0
"99",0,1.4142135623731,0,9.59166304662544,6,4,0
"100",1.73205080756888,1.4142135623731,1.4142135623731,11.4017542509914,6,4,0
